title,brand,rating,ratings_number,price,prime_option,answers,first_date,sponsored_option,categories,position,page,category,position_c,subcategory,position_s
"RangTouek Boxing Gloves for Training &amp; Muay Thai in PU Leather, Boxing Mitts for Fighting, Kickboxing, Sparring &amp; Punch Bag, Focus Pads, Grappling Dummy, and Double End Speed Ball Punching",RangTouek,4.6,46,13.0,False,0,2020-07-28,False,"['5,958 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '22 in Boxing Training Gloves']",20,1,Sports & Outdoors,5958.0,Boxing Training Gloves,22.0
Starpro C20 Single Shell Boxing Gloves| PU Leather| Black &amp; White | For Training and Sparring in Muay Thai Kickboxing Fitness and Boxercise |Men &amp; Women |8oz 10oz 12oz 14oz 16oz,Starpro,4.7,131,20.0,True,0,2019-03-04,False,"['12,297 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '46 in Boxing Training Gloves']",21,1,Sports & Outdoors,12297.0,Boxing Training Gloves,46.0
"RDX MMA Gloves for Martial Arts Training and Grappling, Approved by SMMAF, Open Palm Maya Hide Leather with Long Wrist Strap, Sparring Mitts for Kickboxing Muay Thai Cage Fighting Punching and Combat",RDX,4.6,1103,23.0,True,26,2016-05-05,False,"['3,724 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '3 in Training Gloves', '8 in Boxing Fight Gloves', '12 in Boxing Training Gloves']",22,1,Sports & Outdoors,3724.0,Training Gloves,3.0
EVO Fitness Ladies Matte Pink Boxing Gloves Punch Bag Women MMA Muay Thai Martial Arts Kick Boxing Girls Sparring Training Fighting Gloves With Hand Wraps,EVO Fitness,4.8,47,18.0,True,0,2020-09-13,False,"['9,162 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '32 in Boxing Training Gloves']",23,1,Sports & Outdoors,9162.0,Boxing Training Gloves,32.0
"RDX MMA Gloves for Grappling Martial Arts Training, D. Cut Open Palm Maya Hide Leather Sparring Mitts, Perfect for Cage Fighting, Combat Sports, Punching bag, Muay Thai and Kickboxing",RDX,4.6,193,23.0,True,6,2015-03-30,False,"['6,535 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '4 in Training Gloves', '38 in Boxing Gloves']",24,1,Sports & Outdoors,6535.0,Training Gloves,4.0
"REX Stealth Boxing gloves for fighters, Training gloves, Heavy duty punching gloves | Matte Black Boxing Gloves for Sparring, Kickboxing, Fighting, Punch Bags and Focus Pads Punching",REX,4.9,12,17.0,False,0,2020-09-08,False,"['28,454 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '93 in Boxing Training Gloves']",25,1,Sports & Outdoors,28454.0,Boxing Training Gloves,93.0
Islero EVO Fitness Matte Black Boxing Gloves Men Punch Bag Women MMA Muay Thai Martial Arts Kick Boxing Sparring Training Fighting Gloves With Hand Wraps,Islero,4.9,11,17.0,True,0,2020-11-11,False,"['6,187 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '23 in Boxing Training Gloves']",26,1,Sports & Outdoors,6187.0,Boxing Training Gloves,23.0
MMA Gloves for Martial Arts Training and Grappling Krav Maga Open Palm Liani Hide Leather Wrist Strap Sparring Mitts for Kickboxing Muay Thai Cage UFC Fighting Punching Combat (MULTI COLORS/SIZES),3X Professional Choice,4.5,51,20.0,True,0,2018-12-15,False,"['28,600 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '95 in Boxing Training Gloves']",27,1,Sports & Outdoors,28600.0,Boxing Training Gloves,95.0
RDX Boxing Gloves Training Sparring Cow Hide Leather Punching Glove Bag Mitts kickboxing Muay Thai Fighting,RDX,,0,119.0,True,0,2018-05-23,False,[],28,1,,,,
"RDX Boxing Gloves for Training Muay Thai, Maya Hide Leather Gloves for Sparring, Kickboxing, Fighting, Punch Bags and Focus Pads Punching",RDX,4.6,18,45.0,True,0,2020-07-27,False,"['98,271 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '226 in Boxing Training Gloves']",29,1,Sports & Outdoors,98271.0,Boxing Training Gloves,226.0
RDX Boxing Gloves Training Sparring Genuine Leather Punching Glove Mitts kickboxing Muay Thai Fighting,RDX,,0,89.0,True,0,2018-05-23,False,"['350,582 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '695 in Boxing Training Gloves']",30,1,Sports & Outdoors,350582.0,Boxing Training Gloves,695.0
"RDX Boxing Gloves for Training and Muay Thai, Maya Hide Leather Mitts for Fighting, Kickboxing, Sparring, EGO Glove for Punch Bag, Focus Pads, Thai Pad and Double End Ball Punching",RDX,4.7,1841,31.0,True,47,2020-08-27,True,"['2,831 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '5 in Boxing Fight Gloves']",31,1,Sports & Outdoors,2831.0,Boxing Fight Gloves,5.0
AQF Boxing Gloves for Training &amp; MMA Muay Thai Punch Bag Sparring MMA Gloves for Kickboxing Fighting &amp; punching bag with Extra Layers of Padding,AQF,4.3,6,19.0,False,0,2020-10-15,True,"['13,527 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '50 in Boxing Training Gloves']",32,1,Sports & Outdoors,13527.0,Boxing Training Gloves,50.0
"RDX Boxing Gloves for Training Muay Thai Maya Hide Leather Mitts for Sparring, Kickboxing, Fighting Great for Heavy Punch Bag, Double End Speed Ball Focus Pads Punching",RDX,4.6,77,46.0,True,4,2019-11-25,True,"['26,280 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '84 in Boxing Training Gloves']",33,1,Sports & Outdoors,26280.0,Boxing Training Gloves,84.0
"RDX Boxing Gloves for Training Muay Thai Cowhide Leather Mitts for Kickboxing, Sparring Fighting Great for Heavy Punch Bag, Speed Ball, Grappling Dummy and Focus Pads Punching",RDX,4.5,19,60.0,True,0,2015-05-21,False,"['105,706 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '119 in Boxing Fight Gloves', '241 in Boxing Training Gloves']",34,1,Sports & Outdoors,105706.0,Boxing Fight Gloves,119.0
"Rehomy Boxing Gloves, Pro Grade Kickboxing Fighting Sparring Muay Thai Training Gloves for Men &amp; Women",Rehomy,4.3,103,16.0,False,0,2019-09-26,False,"['24,682 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '79 in Boxing Training Gloves']",35,1,Sports & Outdoors,24682.0,Boxing Training Gloves,79.0
"RDX Boxing Gloves for Training Muay Thai Cowhide Leather Mitts for Sparring, Kickboxing Fighting Great for Heavy Punch Bag, Focus Pads, Grappling Dummy and Speed Ball Punching",RDX,4.2,24,48.0,True,0,2018-06-07,False,"['59,813 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '158 in Boxing Training Gloves']",36,1,Sports & Outdoors,59813.0,Boxing Training Gloves,158.0
BOOM Prime Gold Boxing Gloves 10oz 12oz 14oz 16oz Gloves Training Punching Sparring Muay Thai Punch Bag Mitts Kickboxing Grappling MMA Martial Arts Fighting Gym Workout Gloves,BOOM Prime,5.0,2,17.0,False,0,2020-01-03,False,"['129,366 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '297 in Boxing Training Gloves']",37,1,Sports & Outdoors,129366.0,Boxing Training Gloves,297.0
"RDX Kids Boxing Gloves for Training and Muay Thai, Maya Hide Leather Junior Mitts for Kickboxing, Sparring and Fighting, Good for Youth Punch Bag, Grappling Dummy and Focus Pads Punching",RDX,4.8,51,20.0,True,0,2017-05-04,False,"['18,655 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '68 in Boxing Training Gloves']",38,1,Sports & Outdoors,18655.0,Boxing Training Gloves,68.0
"RDX Boxing Gloves for Training and Muay Thai, Maya Hide Leather Mitts for Fighting, Kickboxing, Sparring, EGO Glove for Punch Bag, Focus Pads, Thai Pad and Double End Ball Punching",RDX,4.7,1841,31.0,True,47,2020-08-27,False,"['2,831 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '5 in Boxing Fight Gloves']",39,1,Sports & Outdoors,2831.0,Boxing Fight Gloves,5.0
"RDX Boxing Gloves for Training, Muay Thai Maya Hide Leather Mitts for Sparring, Kickboxing Fighting, Good for Punch Bag, Focus Pads, Grappling Dummy and Double End Speed Ball Punching",RDX,4.7,78,21.0,True,0,2015-05-15,False,"['64,806 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '170 in Boxing Training Gloves']",40,1,Sports & Outdoors,64806.0,Boxing Training Gloves,170.0
"RDX MMA Gloves Grappling Sparring, Pre-Curved Martial Arts Mitts, Ventilated Palm, Maya Hide Leather KARA Cage Fighting Gloves, Combat Sports Training, Muay Thai, Punching Bag and Kickboxing",RDX,4.9,13,22.0,True,0,2020-11-13,False,"['4,381 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '25 in Boxing Gloves']",41,1,Sports & Outdoors,4381.0,Boxing Gloves,25.0
"RDX Women Boxing Gloves for Training Muay Thai Maya Hide Leather Ladies Mitts for Fighting, Kickboxing, Sparring EGO Glove for Punch Bag, Focus Pads and Double End Ball Punching",RDX,4.5,63,32.0,True,0,2016-08-03,False,"['15,571 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '56 in Boxing Training Gloves']",42,1,Sports & Outdoors,15571.0,Boxing Training Gloves,56.0
"Boxing Gloves for Kids Punch Mitts Gloves Sparring Training Gloves for Fighting, Kick Boxing Grappling Dummy Double End Speed Ball &amp; Focus Pads RED",longeek,,0,19.0,False,0,2020-11-14,False,[],43,1,,,,
"RDX MMA Gloves for Martial Arts Grappling Sparring Training, Cowhide Leather Open Palm and Wrist Strap, Padded Mitts for Muay Thai, Punching Bag, Speedball Workout Kickboxing Cage Fighting",RDX,4.6,33,,False,0,2017-06-02,False,[],44,1,,,,
ONEX 3ft Punch Bag Set Heavy Filled Boxing Training Punching Gloves Fighting Hanging 13pcs Bracket Chains set,ONEX,4.5,237,59.0,False,13,2019-07-28,False,"['1,969 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '3 in Heavy Boxing Bags']",45,1,Sports & Outdoors,1969.0,Heavy Boxing Bags,3.0
UFC MMA Gear Boxing Training Gloves Fighting Gloves Half finger Boxing Gloves Martial Arts Sparring Mitts Gloves Grappling Punching Kickboxing Muay Thai Taekwondo Gloves for Women Men Kids,GLIN,4.4,52,15.0,False,0,2019-05-26,False,"['16,035 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '36 in Boxing Fight Gloves']",46,1,Sports & Outdoors,16035.0,Boxing Fight Gloves,36.0
Ringmaster Sports Cobra Series Boxing Gloves Training Sparring Fighting MMA Martial Arts Kickboxing Punching Double End Bag Focus Pads,Ringmaster,4.7,14,29.0,True,0,2017-04-19,False,"['104,730 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '238 in Boxing Training Gloves']",47,1,Sports & Outdoors,104730.0,Boxing Training Gloves,238.0
"Boxing Gloves for Training, Muay Thai, Sparring, Kickboxing, Fighting, Focus Pads, Punch Bag Mitts, Martial Arts, Workout Gloves, | 6oz, 8oz, 10oz, 12oz, 14oz, 16oz | Men &amp; Women",Sparta,4.5,275,11.0,False,5,2020-02-12,False,"['2,026 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '6 in Boxing Training Gloves']",48,1,Sports & Outdoors,2026.0,Boxing Training Gloves,6.0
BES Smart® Professional Boxing Gloves For Adults Youth Kids Men and Women Mitts Leather Pro Gel Muay Thai MMA Kick Boxing Sparring Grappling Fighting &amp; Training Punch Bag,BES,3.9,13,14.0,False,0,2020-09-21,False,"['77,055 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '88 in Boxing Fight Gloves']",49,1,Sports & Outdoors,77055.0,Boxing Fight Gloves,88.0
"RDX MMA Gloves for Grappling Martial Arts, D-Cut Open Palm Maya Hide Leather Mitts, Good for Kickboxing, Sparring, Muay Thai, Cage Fighting, Punching Bag and Combat Training",RDX,4.6,149,17.0,False,8,2015-12-04,False,"['40,829 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '20 in Training Gloves']",50,1,Sports & Outdoors,40829.0,Training Gloves,20.0
BOOM Prime Ladies Rex Leather Boxing Gloves 6oz-14oz Sparring Mitts Gym Kick Pads MMA Punch Bag Training Kickboxing Martial Arts Womens Punching Fighting Gloves,BOOM Prime,4.7,17,16.0,False,0,2016-11-24,False,"['123,147 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '286 in Boxing Training Gloves']",51,1,Sports & Outdoors,123147.0,Boxing Training Gloves,286.0
AQF Boxing Gloves for Training &amp; MMA Muay Thai Punch Bag Sparring MMA Gloves for Kickboxing Fighting &amp; punching bag with Extra Layers of Padding,AQF,4.3,6,19.0,False,0,2020-10-15,False,"['13,527 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '50 in Boxing Training Gloves']",52,1,Sports & Outdoors,13527.0,Boxing Training Gloves,50.0
"RDX Kids Boxing Gloves for Training, Muay Thai, Maya hide leather Junior 6oz Mitts for Kickboxing, Sparring, Fighting, Good for Youth Punch Bag, Grappling Dummy and Focus Pads Punching",RDX,4.7,169,19.0,False,0,2019-11-14,False,"['7,411 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '27 in Boxing Training Gloves']",53,1,Sports & Outdoors,7411.0,Boxing Training Gloves,27.0
Starpro S90 Wrist Shielded Boxing Gloves| Maya Hide Leather | Black and Blue| For Professional Training and Sparring in Muay Thai Kickboxing Fitness and Boxercise |Men &amp; Women| 8oz 10oz 12oz 14oz 16oz,Starpro,4.4,43,29.0,True,0,2019-10-28,False,"['119,459 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '272 in Boxing Training Gloves']",54,1,Sports & Outdoors,119459.0,Boxing Training Gloves,272.0
"RDX Boxing Gloves for Training Muay Thai Genuine Cowhide Leather Infused Gel Gloves for Sparring, Kickboxing and Heavy Punching Bag, Fighting, Bag Mitts, Focus Mitts",RDX,4.7,117,34.0,False,0,2016-06-18,False,"['76,257 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '87 in Boxing Fight Gloves']",55,1,Sports & Outdoors,76257.0,Boxing Fight Gloves,87.0
"RDX Women Boxing Gloves for Training Muay Thai Flora Skin Ladies Mitts for Fighting, Kickboxing, Sparring Good for Punch Bag, Focus Pads and Double End Ball Punching",RDX,4.4,13,32.0,True,0,2018-08-10,False,"['35,570 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '19 in Training Gloves', '53 in Boxing Fight Gloves']",56,1,Sports & Outdoors,35570.0,Training Gloves,19.0
"RDX MMA Gloves for Martial Arts Training and Sparring, Cowhide Leather Mitts for Grappling, Kickboxing, Muay Thai, Punching bag, Cage Fighting",RDX,4.4,52,23.0,False,4,2015-05-01,False,"['56,168 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '151 in Boxing Training Gloves']",57,1,Sports & Outdoors,56168.0,Boxing Training Gloves,151.0
"RDX MMA Gloves for Grappling Martial Arts Training, D. Cut Open Palm Maya Hide Leather Sparring Mitts, Perfect for Cage Fighting, Combat Sports, Punching bag, Muay Thai and Kickboxing",RDX,4.6,998,23.0,True,14,2015-03-30,True,"['6,535 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '4 in Training Gloves', '38 in Boxing Gloves']",58,1,Sports & Outdoors,6535.0,Training Gloves,4.0
"RangTouek Boxing Gloves for Training &amp; Muay Thai in PU Leather, Boxing Mitts for Fighting, Kickboxing, Sparring &amp; Punch Bag, Focus Pads, Grappling Dummy, and Double End Speed Ball Punching",RangTouek,4.6,46,13.0,False,0,2020-07-28,True,"['5,958 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '22 in Boxing Training Gloves']",59,1,Sports & Outdoors,5958.0,Boxing Training Gloves,22.0
"Boxing Gloves and Pads Set and Boxing Pads with Adjustable Strap Best for Boxing MMA Training Equipment, Boxing Gloves and Punching, Sparring Pads Mitts for Muay Thai, Kung Fu, Karate",MAXX Pro Boxing Gear,2.0,1,34.0,True,0,2021-01-01,True,"['21,038 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '33 in Boxing Pads']",0,2,Sports & Outdoors,21038.0,Boxing Pads,33.0
"MMA Glove KeyRing Gift idea, Leather Mixed Martial Arts UFC ultimate fighter KeyChain ufc live, Box Sport Fighting Key Ring Present, Man &amp; Boyfriend Kickboxing Jiu-Jitsu Mini Pendant Triangle Choke",Revain,,0,7.0,False,0,,True,"['Amazon Bestsellers Rank: 202,062 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '#2632 in Martial Arts (Sports & Outdoors)']",1,2,Sports & Outdoors,202062.0,Martial Arts,2632.0
"RDX Boxing Hand Wraps Inner Gloves for Punching, Elasticated Padded Bandages under Mitts, Quick Long Wrist Support, Fist Protector, Great for MMA, Muay Thai, Kickboxing, Martial Arts Training",RDX,4.5,2866,11.0,False,25,2015-06-01,True,"['396 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '1 in Martial Arts Hand Wraps', '1 in Boxing Fight Gloves']",2,2,Sports & Outdoors,396.0,Martial Arts Hand Wraps,1.0
Valour Strike Boxing Gloves for Men Women Ladies Juniors &amp; Kids | Glove Ounce set to 16oz 14oz 12oz 10oz 8oz | Pro Boxing Training Gloves for Sparring in Kickboxing MMA Muay Thai or Boxercise Training,Valour Strike,4.7,430,29.0,True,36,2019-08-12,True,"['5,763 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '14 in Boxing Fight Gloves']",3,2,Sports & Outdoors,5763.0,Boxing Fight Gloves,14.0
"RDX MMA Gloves for Martial Arts Training and Sparring, Open Palm Maya Hide ConvEX Skin Leather Mitts for Grappling, Kickboxing, Muay Thai, Punching bag and Cage Fighting Matte Black",RDX,4.4,22,25.0,True,0,2019-04-19,False,"['32,261 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '18 in Training Gloves']",4,2,Sports & Outdoors,32261.0,Training Gloves,18.0
VELO Boxing Gloves Crystal Leather Muay Thai Training Sparring Punching Bag Mitts kickboxing Fighting Glove for Punch Bag | Focus Pad | Arm kick Pad (𝗙𝗿𝗲𝗲 𝗙𝗮𝗰𝗲 𝗠𝗮𝘀𝗸),VELO,5.0,2,21.0,True,0,2020-06-12,False,"['107,376 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '244 in Boxing Training Gloves']",5,2,Sports & Outdoors,107376.0,Boxing Training Gloves,244.0
Kids Boxing Gloves Leather Boxing Gloves MMA Mitts Children Sparring Boxing Gloves for Kickboxing Fighting Punch Bags MMA Training Muay Thai Mitts Age 5-12 Years,WingFly,4.0,21,18.0,False,0,2020-08-17,False,"['69,495 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '177 in Boxing Training Gloves']",6,2,Sports & Outdoors,69495.0,Boxing Training Gloves,177.0
"RDX Boxing Gloves for Training Muay Thai Maya Hide Leather Mitts for Sparring, Kickboxing, Fighting Great for Heavy Punch Bag, Double End Speed Ball Focus Pads Punching",RDX,4.6,9,46.0,True,0,2019-11-25,False,"['26,280 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '84 in Boxing Training Gloves']",7,2,Sports & Outdoors,26280.0,Boxing Training Gloves,84.0
RDX Taekwondo Gloves Training Martial Arts Boxing Sparring TKD Punch Bag Mitts MMA Grappling Karate Fighting,RDX,4.0,19,16.0,False,0,2016-09-09,False,"['23,359 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '1 in Bag Gloves']",8,2,Sports & Outdoors,23359.0,Bag Gloves,1.0
"DXD MMA leather gloves for grappling hook Martial Arts Training, D. Cut Palm Maya Hide Leather Sparring Mitts, Perfect gloves for Cage Fighting, Combat Sports, Punching bag, Muay Thai &amp; Kickboxing",DXD,5.0,1,22.0,True,0,2020-08-18,False,"['269,583 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '559 in Boxing Training Gloves']",9,2,Sports & Outdoors,269583.0,Boxing Training Gloves,559.0
Starpro Junior Performer Single Shell Boxing Gloves |Synthetic Leather| Black | For Youth Training and Sparring in Muay Thai Kickboxing Fitness and Boxercise| Kids 4oz 6oz 8oz,Starpro,4.5,95,14.0,False,0,2020-05-04,False,"['27,183 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '87 in Boxing Training Gloves']",10,2,Sports & Outdoors,27183.0,Boxing Training Gloves,87.0
