,title,brand,rating,ratings_number,price,prime_option,answers,first_date,sponsored_option,categories,position,page,category,position_c,subcategory,position_s
12,XN8 Boxing Gloves for Training Punch bag - MMA - Muay Thai - Fighting - Kickboxing - Sparring - Punching Mitts,Xn8 Sports,,305,23.0,True,5,2020-07-21,False,"['2,529 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '11 in Boxing Gloves']",12,1,Sports & Outdoors,2529,Boxing Gloves,11
13,SAWANS® Leather Boxing Gloves Professional MMA Sparring Kickboxing Punch Bag Training Muay Thai Fighting,SAWANS,,236,16.0,False,0,2019-10-19,False,"['1,491 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '4 in Boxing Training Gloves']",13,1,Sports & Outdoors,1491,Boxing Training Gloves,4
14,"RDX Kids MMA Gloves for Grappling Martial Arts Training, Maya Hide Leather Mitts for Youth, Good for Kickboxing, Sparring, Muay Thai, Junior Cage Fighting, Punching Bag",RDX,,233,19.0,False,8,2015-11-10,False,"['14,590 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '10 in Training Gloves']",14,1,Sports & Outdoors,14590,Training Gloves,10
15,SAWANS Punch Bag Boxing Gloves Karate Mitts MMA Body Combat Taekwondo Training Martial Art Fighting Grappling Muay Thai,SAWANS,,220,7.0,False,0,2020-07-08,False,"['1,887 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '1 in Boxing Bag Gloves']",15,1,Sports & Outdoors,1887,Boxing Bag Gloves,1
16,"RDX MMA Gloves for Martial Arts Grappling Training, D. Cut Open Palm Maya Hide Leather Sparring Mitts, Good for Muay Thai, Kickboxing, Cage Fighting, Combat Sports and Punching bag",RDX,,69,25.0,True,0,2020-01-21,True,"['10,774 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '6 in Training Gloves']",16,1,Sports & Outdoors,10774,Training Gloves,6
17,"RDX MMA Gloves for Martial Arts Grappling Sparring Training, Cowhide Leather Open Palm and Wrist Strap, Padded Mitts for Muay Thai, Punching Bag, Speedball Workout Kickboxing Cage Fighting",RDX,,51,24.0,True,0,2017-06-02,True,"['45,712 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '21 in Training Gloves']",17,1,Sports & Outdoors,45712,Training Gloves,21
18,"RangTouek Boxing Gloves for Training &amp; Muay Thai in PU Leather, Boxing Mitts for Fighting, Kickboxing, Sparring &amp; Punch Bag, Focus Pads, Grappling Dummy, and Double End Speed Ball Punching",RangTouek,,46,13.0,False,0,2020-07-28,False,"['5,186 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '19 in Boxing Training Gloves']",18,1,Sports & Outdoors,5186,Boxing Training Gloves,19
19,EVO Fitness Ladies Matte Pink Boxing Gloves Punch Bag Women MMA Muay Thai Martial Arts Kick Boxing Girls Sparring Training Fighting Gloves With Hand Wraps,EVO Fitness,,46,18.0,False,0,2020-09-13,False,"['5,890 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '25 in Boxing Training Gloves']",19,1,Sports & Outdoors,5890,Boxing Training Gloves,25
20,Starpro C20 Single Shell Boxing Gloves| PU Leather| Black &amp; White | For Training and Sparring in Muay Thai Kickboxing Fitness and Boxercise |Men &amp; Women |8oz 10oz 12oz 14oz 16oz,Starpro,,129,20.0,True,0,2019-03-04,False,"['40,599 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '110 in Boxing Training Gloves']",20,1,Sports & Outdoors,40599,Boxing Training Gloves,110
21,"RDX MMA Gloves for Martial Arts Training and Grappling, Approved by SMMAF, Open Palm Maya Hide Leather with Long Wrist Strap, Sparring Mitts for Kickboxing Muay Thai Cage Fighting Punching and Combat",RDX,,1102,23.0,True,26,2016-05-05,False,"['4,753 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '3 in Training Gloves', '10 in Boxing Fight Gloves', '19 in Boxing Training Gloves']",21,1,Sports & Outdoors,4753,Training Gloves,3
22,"RDX MMA Gloves for Grappling Martial Arts Training, D. Cut Open Palm Maya Hide Leather Sparring Mitts, Perfect for Cage Fighting, Combat Sports, Punching bag, Muay Thai and Kickboxing",RDX,,193,23.0,True,6,2015-03-30,False,"['8,851 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '6 in Training Gloves', '54 in Boxing Gloves']",22,1,Sports & Outdoors,8851,Training Gloves,6
23,"REX Stealth Boxing gloves for fighters, Training gloves, Heavy duty punching gloves | Matte Black Boxing Gloves for Sparring, Kickboxing, Fighting, Punch Bags and Focus Pads Punching",REX,,12,17.0,False,0,2020-09-08,False,"['70,447 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '184 in Boxing Training Gloves']",23,1,Sports & Outdoors,70447,Boxing Training Gloves,184
24,Islero EVO Fitness Matte Black Boxing Gloves Men Punch Bag Women MMA Muay Thai Martial Arts Kick Boxing Sparring Training Fighting Gloves With Hand Wraps,Islero,,11,17.0,True,0,2020-11-11,False,"['13,081 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '45 in Boxing Training Gloves']",24,1,Sports & Outdoors,13081,Boxing Training Gloves,45
25,MMA Gloves for Martial Arts Training and Grappling Krav Maga Open Palm Liani Hide Leather Wrist Strap Sparring Mitts for Kickboxing Muay Thai Cage UFC Fighting Punching Combat (MULTI COLORS/SIZES),3X Professional Choice,,51,20.0,True,0,2018-12-15,False,"['94,244 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '230 in Boxing Training Gloves']",25,1,Sports & Outdoors,94244,Boxing Training Gloves,230
26,"RDX Kids Boxing Gloves for Training &amp; Muay Thai Maya Hide Leather Junior 4oz, 6oz Mitts for Sparring, Focus Pads, Fighting &amp; Kickboxing Good for Youth Punch Bag, Punching and Grappling Dummy",RDX,,805,16.0,False,11,2016-07-12,False,"['2,122 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '3 in Boxing Fight Gloves']",26,1,Sports & Outdoors,2122,Boxing Fight Gloves,3
27,"RDX MMA Gloves Grappling Sparring, Pre-Curved Martial Arts Mitts, Ventilated Palm, Maya Hide Leather KARA Cage Fighting Gloves, Combat Sports Training, Muay Thai, Punching Bag and Kickboxing",RDX,,12,22.0,True,0,2020-11-13,False,"['4,240 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '26 in Boxing Gloves']",27,1,Sports & Outdoors,4240,Boxing Gloves,26
28,RDX Boxing Gloves Training Sparring Genuine Leather Punching Glove Mitts kickboxing Muay Thai Fighting,RDX,,0,89.0,True,0,2018-05-23,False,"['332,174 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '666 in Boxing Training Gloves']",28,1,Sports & Outdoors,332174,Boxing Training Gloves,666
29,"RDX Boxing Gloves for Training Muay Thai Cowhide Leather Mitts for Kickboxing, Sparring Fighting Great for Heavy Punch Bag, Speed Ball, Grappling Dummy and Focus Pads Punching",RDX,,19,60.0,True,0,2015-05-21,False,"['96,626 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '109 in Boxing Fight Gloves', '231 in Boxing Training Gloves']",29,1,Sports & Outdoors,96626,Boxing Fight Gloves,109
30,"MMA Glove KeyRing Gift idea, Leather Mixed Martial Arts UFC ultimate fighter KeyChain ufc live, Box Sport Fighting Key Ring Present, Man &amp; Boyfriend Kickboxing Jiu-Jitsu Mini Pendant Triangle Choke",Revain,,0,7.0,False,0,,True,"['Amazon Bestsellers Rank: 174,568 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '#12 in Martial Arts Equipment Bags']",30,1,Rank: 174568 in Sports & Outdoors,Amazon,Martial Arts Equipment Bags,#12
31,"RDX Boxing Gloves for Training and Muay Thai, Maya Hide Leather Mitts for Fighting, Kickboxing, Sparring, EGO Glove for Punch Bag, Focus Pads, Thai Pad and Double End Ball Punching",RDX,,1838,31.0,True,47,2020-08-27,True,"['3,688 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '9 in Boxing Fight Gloves']",31,1,Sports & Outdoors,3688,Boxing Fight Gloves,9
32,"RDX Kids MMA Gloves for Grappling Martial Arts Training, Maya Hide Leather Mitts for Youth, Good for Kickboxing, Sparring, Muay Thai, Junior Cage Fighting, Punching Bag",RDX,,233,19.0,False,8,2015-11-10,True,"['14,590 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '10 in Training Gloves']",32,1,Sports & Outdoors,14590,Training Gloves,10
33,RDX Boxing Gloves Training Sparring Cow Hide Leather Punching Glove Bag Mitts kickboxing Muay Thai Fighting,RDX,,0,119.0,True,0,2018-05-23,False,[],33,1,,,,
34,"RDX Boxing Gloves for Training Muay Thai Cowhide Leather Mitts for Sparring, Kickboxing Fighting Great for Heavy Punch Bag, Focus Pads, Grappling Dummy and Speed Ball Punching",RDX,,24,48.0,True,0,2018-06-07,False,"['45,812 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '120 in Boxing Training Gloves']",34,1,Sports & Outdoors,45812,Boxing Training Gloves,120
35,BOOM Prime Gold Boxing Gloves 10oz 12oz 14oz 16oz Gloves Training Punching Sparring Muay Thai Punch Bag Mitts Kickboxing Grappling MMA Martial Arts Fighting Gym Workout Gloves,BOOM Prime,,2,17.0,False,0,2020-01-03,False,"['111,131 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '267 in Boxing Training Gloves']",35,1,Sports & Outdoors,111131,Boxing Training Gloves,267
36,"Rehomy Boxing Gloves, Pro Grade Kickboxing Fighting Sparring Muay Thai Training Gloves for Men &amp; Women",Rehomy,,102,15.0,False,0,2019-09-26,False,"['33,792 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '98 in Boxing Training Gloves']",36,1,Sports & Outdoors,33792,Boxing Training Gloves,98
37,"RDX MMA Gloves for Martial Arts Grappling Sparring Training, Cowhide Leather Open Palm and Wrist Strap, Padded Mitts for Muay Thai, Punching Bag, Speedball Workout Kickboxing Cage Fighting",RDX,,33,,False,0,2017-06-02,False,[],37,1,,,,
38,"RDX Boxing Gloves for Training and Muay Thai, Maya Hide Leather Mitts for Fighting, Kickboxing, Sparring, EGO Glove for Punch Bag, Focus Pads, Thai Pad and Double End Ball Punching",RDX,,1838,31.0,True,47,2020-08-27,False,"['4,061 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '10 in Boxing Fight Gloves']",38,1,Sports & Outdoors,4061,Boxing Fight Gloves,10
39,UFC MMA Gear Boxing Training Gloves Fighting Gloves Half finger Boxing Gloves Martial Arts Sparring Mitts Gloves Grappling Punching Kickboxing Muay Thai Taekwondo Gloves for Women Men Kids,GLIN,,52,15.0,False,0,2019-05-26,False,"['20,659 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '36 in Boxing Fight Gloves']",39,1,Sports & Outdoors,20659,Boxing Fight Gloves,36
40,"RDX Boxing Gloves for Training, Muay Thai Maya Hide Leather Mitts for Sparring, Kickboxing Fighting, Good for Punch Bag, Focus Pads, Grappling Dummy and Double End Speed Ball Punching",RDX,,78,21.0,True,0,2015-05-15,False,"['50,817 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '135 in Boxing Training Gloves']",40,1,Sports & Outdoors,50817,Boxing Training Gloves,135
41,"RDX Boxing Gloves for Training Muay Thai, Maya Hide Leather Gloves for Sparring, Kickboxing, Fighting, Punch Bags and Focus Pads Punching",RDX,,18,45.0,True,0,2020-07-27,False,"['91,927 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '221 in Boxing Training Gloves']",41,1,Sports & Outdoors,91927,Boxing Training Gloves,221
42,"Boxing Gloves for Kids Punch Mitts Gloves Sparring Training Gloves for Fighting, Kick Boxing Grappling Dummy Double End Speed Ball &amp; Focus Pads RED",longeek,,0,19.0,False,0,2020-11-14,False,[],42,1,,,,
43,"RDX Kids Boxing Gloves for Training and Muay Thai, Maya Hide Leather Junior Mitts for Kickboxing, Sparring and Fighting, Good for Youth Punch Bag, Grappling Dummy and Focus Pads Punching",RDX,,50,20.0,True,0,2017-05-04,False,"['32,212 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '93 in Boxing Training Gloves']",43,1,Sports & Outdoors,32212,Boxing Training Gloves,93
44,"RDX Women Boxing Gloves for Training Muay Thai Maya Hide Leather Ladies Mitts for Fighting, Kickboxing, Sparring EGO Glove for Punch Bag, Focus Pads and Double End Ball Punching",RDX,,63,32.0,True,0,2016-08-03,False,"['12,497 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '42 in Boxing Training Gloves']",44,1,Sports & Outdoors,12497,Boxing Training Gloves,42
45,BOOM Prime Ladies Rex Leather Boxing Gloves 6oz-14oz Sparring Mitts Gym Kick Pads MMA Punch Bag Training Kickboxing Martial Arts Womens Punching Fighting Gloves,BOOM Prime,,17,16.0,False,0,2016-11-24,False,"['114,525 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '279 in Boxing Training Gloves']",45,1,Sports & Outdoors,114525,Boxing Training Gloves,279
46,AQF Boxing Gloves for Training &amp; MMA Muay Thai Punch Bag Sparring MMA Gloves for Kickboxing Fighting &amp; punching bag with Extra Layers of Padding,AQF,,6,19.0,False,0,2020-10-15,False,"['9,024 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '33 in Boxing Training Gloves']",46,1,Sports & Outdoors,9024,Boxing Training Gloves,33
47,Starpro S90 Wrist Shielded Boxing Gloves| Maya Hide Leather | Black and Blue| For Professional Training and Sparring in Muay Thai Kickboxing Fitness and Boxercise |Men &amp; Women| 8oz 10oz 12oz 14oz 16oz,Starpro,,43,29.0,True,0,2019-10-28,False,"['100,580 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '240 in Boxing Training Gloves']",47,1,Sports & Outdoors,100580,Boxing Training Gloves,240
48,VELO Boxing Gloves Crystal Leather Muay Thai Training Sparring Punching Bag Mitts kickboxing Fighting Glove for Punch Bag | Focus Pad | Arm kick Pad (𝗙𝗿𝗲𝗲 𝗙𝗮𝗰𝗲 𝗠𝗮𝘀𝗸),VELO,,2,21.0,True,0,2020-06-12,False,"['95,565 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '228 in Boxing Training Gloves']",48,1,Sports & Outdoors,95565,Boxing Training Gloves,228
49,BES Smart® Professional Boxing Gloves For Adults Youth Kids Men and Women Mitts Leather Pro Gel Muay Thai MMA Kick Boxing Sparring Grappling Fighting &amp; Training Punch Bag,BES,,13,14.0,False,0,2020-09-21,False,"['60,516 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '78 in Boxing Fight Gloves']",49,1,Sports & Outdoors,60516,Boxing Fight Gloves,78
50,"RDX MMA Gloves for Grappling Martial Arts, D-Cut Open Palm Maya Hide Leather Mitts, Good for Kickboxing, Sparring, Muay Thai, Cage Fighting, Punching Bag and Combat Training",RDX,,149,17.0,False,8,2015-12-04,False,"['13,547 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '9 in Training Gloves']",50,1,Sports & Outdoors,13547,Training Gloves,9
51,"RDX Kids Boxing Gloves for Training, Muay Thai, Maya hide leather Junior 6oz Mitts for Kickboxing, Sparring, Fighting, Good for Youth Punch Bag, Grappling Dummy and Focus Pads Punching",RDX,,165,19.0,False,0,2019-11-14,False,"['8,130 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '32 in Boxing Training Gloves']",51,1,Sports & Outdoors,8130,Boxing Training Gloves,32
52,"RDX MMA Gloves for Martial Arts Training and Sparring, Cowhide Leather Mitts for Grappling, Kickboxing, Muay Thai, Punching bag, Cage Fighting",RDX,,52,23.0,False,4,2015-05-01,False,"['91,773 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '219 in Boxing Training Gloves']",52,1,Sports & Outdoors,91773,Boxing Training Gloves,219
53,"RDX Boxing Gloves for Training Muay Thai Maya Hide Leather Mitts for Sparring, Kickboxing, Fighting Great for Heavy Punch Bag, Double End Speed Ball Focus Pads Punching",RDX,,9,46.0,True,0,2019-11-25,False,"['21,480 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '73 in Boxing Training Gloves']",53,1,Sports & Outdoors,21480,Boxing Training Gloves,73
54,"RDX MMA Gloves for Martial Arts Training and Sparring, Open Palm Maya Hide ConvEX Skin Leather Mitts for Grappling, Kickboxing, Muay Thai, Punching bag and Cage Fighting Matte Black",RDX,,22,25.0,True,0,2019-04-19,False,"['16,615 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '12 in Training Gloves']",54,1,Sports & Outdoors,16615,Training Gloves,12
55,"GoMax Boxing Gloves for Training Muay Thai Genuine Cowhide Leather Infused Gel Gloves for Sparring, Kickboxing and Heavy Punching Bag, Fighting, Bag Mitts, Focus Mitts",GO MAX,,10,16.0,False,0,2020-08-19,False,"['77,028 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '195 in Boxing Training Gloves']",55,1,Sports & Outdoors,77028,Boxing Training Gloves,195
56,"Boxing Gloves for Training, Muay Thai, Sparring, Kickboxing, Fighting, Focus Pads, Punch Bag Mitts, Martial Arts, Workout Gloves, | 6oz, 8oz, 10oz, 12oz, 14oz, 16oz | Men &amp; Women",Sparta,,274,11.0,False,5,2020-02-12,False,"['2,764 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '9 in Boxing Training Gloves']",56,1,Sports & Outdoors,2764,Boxing Training Gloves,9
57,"RDX MMA Gloves for Grappling Martial Arts Training, D. Cut Open Palm Maya Hide Leather Sparring Mitts, Perfect for Cage Fighting, Combat Sports, Punching bag, Muay Thai and Kickboxing",RDX,,996,23.0,True,14,2015-03-30,True,"['8,267 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '4 in Training Gloves', '56 in Boxing Gloves']",57,1,Sports & Outdoors,8267,Training Gloves,4
58,"RDX Boxing Gloves for Training Muay Thai Maya Hide Leather NOIR Gloves for Sparring, Kickboxing, Fighting, Punch Bags and Focus Pads Punching Matte Black",RDX,,1623,31.0,True,28,2018-10-05,True,"['1,951 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '6 in Boxing Training Gloves']",58,1,Sports & Outdoors,1951,Boxing Training Gloves,6
59,"RDX Boxing Gloves for Training Muay Thai Maya Hide Leather Mitts for Sparring, Kickboxing, Fighting Great for Heavy Punch Bag, Double End Speed Ball Focus Pads Punching",RDX,,76,46.0,True,4,2019-11-25,True,"['21,480 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '73 in Boxing Training Gloves']",59,1,Sports & Outdoors,21480,Boxing Training Gloves,73
60,Valour Strike Boxing Gloves for Men Women Ladies Juniors &amp; Kids | Glove Ounce set to 16oz 14oz 12oz 10oz 8oz | Pro Boxing Training Gloves for Sparring in Kickboxing MMA Muay Thai or Boxercise Training,Valour Strike,,430,29.0,True,36,2016-02-26,True,"['7,064 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '18 in Boxing Fight Gloves']",0,2,Sports & Outdoors,7064,Boxing Fight Gloves,18
61,Valour Strike Boxing Gloves for Men Women Ladies Juniors &amp; Kids | Set in Ounce 16oz 14oz 12oz 10oz 8oz for Pro Sparring Kickboxing MMA Muay Thai or Boxercise Training Workout | Black Paw™,Valour Strike,,179,29.0,True,10,2019-08-16,True,"['6,029 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '14 in Boxing Fight Gloves']",1,2,Sports & Outdoors,6029,Boxing Fight Gloves,14
62,VELO Boxing Gloves Microfiber Leather Muay Thai Training Sparring Punching Bag Mitts kickboxing Fighting Glove,VELO,,37,19.0,False,0,2019-10-04,True,"['108,483 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '129 in Boxing Fight Gloves']",2,2,Sports & Outdoors,108483,Boxing Fight Gloves,129
63,"REX Stealth Boxing gloves for fighters, Training gloves, Heavy duty punching gloves | Matte Black Boxing Gloves for Sparring, Kickboxing, Fighting, Punch Bags and Focus Pads Punching",REX,,12,17.0,False,0,2020-09-08,True,"['70,447 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '184 in Boxing Training Gloves']",3,2,Sports & Outdoors,70447,Boxing Training Gloves,184
64,RDX Taekwondo Gloves Training Martial Arts Boxing Sparring TKD Punch Bag Mitts MMA Grappling Karate Fighting,RDX,,19,16.0,False,0,2016-09-09,False,"['47,826 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '3 in Bag Gloves']",4,2,Sports & Outdoors,47826,Bag Gloves,3
65,"RDX Women Boxing Gloves for Training Muay Thai Flora Skin Ladies Mitts for Fighting, Kickboxing, Sparring Good for Punch Bag, Focus Pads and Double End Ball Punching",RDX,,13,32.0,True,0,2018-08-10,False,"['65,748 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '30 in Training Gloves', '87 in Boxing Fight Gloves']",5,2,Sports & Outdoors,65748,Training Gloves,30
66,Ringmaster Sports Cobra Series Boxing Gloves Training Sparring Fighting MMA Martial Arts Kickboxing Punching Double End Bag Focus Pads,Ringmaster,,14,29.0,True,0,2017-04-19,False,"['98,608 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '234 in Boxing Training Gloves']",6,2,Sports & Outdoors,98608,Boxing Training Gloves,234
67,"RDX Boxing Gloves for Training Muay Thai Genuine Cowhide Leather Infused Gel Gloves for Sparring, Kickboxing and Heavy Punching Bag, Fighting, Bag Mitts, Focus Mitts",RDX,,23,37.0,True,0,2013-09-11,False,"['163,442 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '197 in Boxing Fight Gloves']",7,2,Sports & Outdoors,163442,Boxing Fight Gloves,197
68,"DXD MMA leather gloves for grappling hook Martial Arts Training, D. Cut Palm Maya Hide Leather Sparring Mitts, Perfect gloves for Cage Fighting, Combat Sports, Punching bag, Muay Thai &amp; Kickboxing",DXD,,1,22.0,True,0,2020-08-18,False,"['262,958 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '547 in Boxing Training Gloves']",8,2,Sports & Outdoors,262958,Boxing Training Gloves,547
69,"DXD Boxing gloves for training combative sports Maya Hide Leather Sparring Mitts, Perfect gloves for boxing, kickboxing, punch bags, fighting and focus pads punching with matt black finish small medium large extra large",DxD,,4,24.0,True,0,2020-08-14,False,"['194,590 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '412 in Boxing Training Gloves']",9,2,Sports & Outdoors,194590,Boxing Training Gloves,412
70,Islero Fitness EVO Kids Boxing Gloves Junior MMA Bag Mitts GEL Punching Bag Muay Thai Martial Arts Kick Boxing Sparring Training Fighting UFC 4OZ 6OZ 8OZ,Islero Fitness,,42,14.0,False,0,2016-03-22,False,"['41,139 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '117 in Boxing Training Gloves']",10,2,Sports & Outdoors,41139,Boxing Training Gloves,117
71,XN8 MMA Gloves Boxing Training Sparring Fight Grappling Mitts With Open Palm- For Cage Fighting-Combat Sports- Punching bag-Muay Thai &amp; Kickboxing,Xn8 Sports,,86,20.0,True,0,2020-07-17,False,"['9,292 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '5 in Training Gloves']",11,2,Sports & Outdoors,9292,Training Gloves,5
